Song,Album Release Date,Hot100 Ranking Year,Decade,Season
Baby I Need Your Loving,1965-01-01,1965,Sixties,Winter
Margaritaville,1977-01-01,1977,Seventies,Winter
Here Comes My Baby,1967-01-01,1967,Sixties,Winter
"Bend Me, Shape Me - Single Version",2006-06-27,2006,new millennium,Summer
Enjoy the Silence,2020-07-17,2020,new millennium,Summer
Irreplaceable,2007-05-29,2007,new millennium,Spring
My Best Friend,1999-05-04,2000,Nighnties,Spring
Make It Happen,1991-09-17,1992,Nighnties,Autumn
Baby Come to Me (In the Style of Patti Austin and James Ingram) [Karaoke Version],2013-05-16,2013,new millennium,Spring
Everybody Talks,2012-01-01,2012,new millennium,Winter
Born to Be With You,2010-04-20,2010,new millennium,Spring
"Bump, Bump, Bump (feat. P. Diddy)",2002-12-10,2003,new millennium,Winter
Suga Suga,2003-01-01,2003,new millennium,Winter
Love Lockdown,2008-11-24,2009,new millennium,Autumn
(We're Gonna) Rock Around The Clock,1955-12-19,1955,Fifties,Winter
Sunny Came Home,1996-09-30,1997,Nighnties,Autumn
No More Drama,2001-08-28,2002,new millennium,Summer
Good Vibrations,1991-03-07,1991,Nighnties,Spring
Replay,2009-08-11,2010,new millennium,Summer
I Found Someone,1987-01-01,1988,Eighties,Winter
Wildest Dreams (Taylor's Version),2021-09-17,2021,new millennium,Autumn
Sexy And I Know It,2011-01-01,2012,new millennium,Winter
How You Gonna See Me Now,1978-03-11,1979,Seventies,Spring
No Matter What Shape (Your Stomach's In),2010-01-01,2010,new millennium,Winter
Go Away Little Girl,1965-07-22,1965,Sixties,Summer
Karaoke - Landslide,2005-03-01,2005,new millennium,Spring
Partition,2014-11-24,2014,new millennium,Autumn
Addict,2020-04-24,2020,new millennium,Spring
Bootylicious,2001-05-01,2001,new millennium,Spring
Just A Girl,1995-10-10,1996,Nighnties,Autumn
One Less Bell To Answer,1970-06-11,1971,Seventies,Summer
Save Your Heart For Me,1965-08-01,1965,Sixties,Summer
Green-Eyed Lady,1970-01-01,1970,Seventies,Winter
Nobody's Supposed to Be Here,1998-09-17,1998,Nighnties,Autumn
I Feel for You,1984-06-03,1985,Eighties,Summer
Rude Boy,2009-11-20,2010,new millennium,Autumn
When She Cries,1998-05-01,1998,Nighnties,Spring
My House,2015-04-07,2016,new millennium,Spring
The Most Beautiful Girl In the World,1995-09-26,1995,Nighnties,Autumn
Tweedle Dee,1996-01-01,1996,Nighnties,Winter
Vaya Con Dios,1953-01-01,1953,Fifties,Winter
Walk It Out,2006-10-03,2007,new millennium,Autumn
Take It to the Limit - 2013 Remaster,1975-05-11,1976,Seventies,Spring
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2017-06-22,2017,new millennium,Summer
Twenty Five Miles,1969-01-01,1969,Sixties,Winter
"Me, Myself and I",2003-06-24,2004,new millennium,Summer
Jambalaya (On The Bayou),2002-01-01,2002,new millennium,Winter
Playground In My Mind - Single Version,1972-05-05,1973,Seventies,Spring
Rollout (My Business),2001-01-01,2002,new millennium,Winter
Run This Town,2009-09-08,2009,new millennium,Autumn
Lay Down (Candles In The Rain) - Long Version,1999-07-01,1999,Nighnties,Summer
With A Little Luck - Remastered 1993,1978-03-31,1978,Seventies,Spring
Like a Boy,2006-05-10,2007,new millennium,Spring
A Tree In The Meadow - Remastered 1990,1954-01-01,1954,Fifties,Winter
SexyBack (feat. Timbaland),2006-09-12,2006,new millennium,Autumn
Melody Of Love,1957-01-01,1957,Fifties,Winter
I'm Your Puppet (Originally Performed by James & Bobby Purify) [Karaoke Version],2016-09-22,2016,new millennium,Autumn
Hocus Pocus,2001-03-04,2001,new millennium,Spring
Friday I'm in Love,1992-04-21,1992,Nighnties,Spring
Best I Ever Had,2009-04-07,2009,new millennium,Spring
God's Country,2019-03-29,2019,new millennium,Spring
"The Good, the Bad and the Ugly - From ""The Good, the Bad and the Ugly""",1999-08-24,1999,Nighnties,Summer
4 Minutes (feat. Justin Timberlake & Timbaland),2009-09-18,2009,new millennium,Autumn
When Will I Be Loved,1974-07-08,1975,Seventies,Summer
Dream About You - Pop Mix,1994-07-09,1995,Nighnties,Summer
I Do,1997-01-01,1998,Nighnties,Winter
Same Love (feat. Mary Lambert),2012-10-09,2013,new millennium,Autumn
Read Your Mind,2003-01-01,2004,new millennium,Winter
Louie Louie,2006-01-31,2006,new millennium,Winter
Wrecking Ball,2013-10-04,2013,new millennium,Autumn
Shawty (feat. T Pain),2007-08-06,2007,new millennium,Summer
Spinning Wheel,1968-12-01,1969,Sixties,Winter
Take a Bow,1994-10-25,1995,Nighnties,Autumn
Into The Night,1980-01-01,1980,Eighties,Winter
Take Me Home,1979-01-01,1979,Seventies,Winter
Girlfriend,2007-04-17,2007,new millennium,Spring
There You'll Be - 2007 Remaster,2007-07-19,2007,new millennium,Summer
What You Know,2006-03-26,2006,new millennium,Spring
Ain't No Stoppin' Us Now (Karaoke in the style of McFadden & Whitehead),2009-09-21,2009,new millennium,Autumn
Style,2014-10-27,2015,new millennium,Autumn
I Wanna Be Bad,2001-07-17,2001,new millennium,Summer
The Second Time Around,1979-01-01,1980,Seventies,Winter
Love Child,1997-10-07,1997,Nighnties,Autumn
Rags to Riches,2011-11-23,2011,new millennium,Autumn
Back To The Hotel,1992-06-01,1992,Nighnties,Summer
Like I Love You,2002-11-04,2002,new millennium,Autumn
You're All I Need To Get By,1968-01-01,1968,Sixties,Winter
I Want You Back - Radio Edit,1997-05-06,1998,Nighnties,Spring
Roses Are Red (My Love),1991-09-03,1991,Nighnties,Autumn
Here I Am (Just When I Thought I Was Over You),1981-05-10,1982,Eighties,Spring
Lips Of An Angel,2005-01-01,2006,new millennium,Winter
Kiss an Angel Good Mornin',1971-11-01,1972,Seventies,Autumn
Green Onions,1962-06-09,1962,Sixties,Summer
Ole Buttermilk Sky,2000-05-09,2000,new millennium,Spring
Tears in Heaven - Acoustic Live,1992-08-25,1992,Nighnties,Summer
I Think We're Alone Now - Single Version,1967-01-05,1967,Sixties,Winter
"Walk, Don't Run '64",1964-01-01,1964,Sixties,Winter
Use Somebody,2008-09-23,2010,new millennium,Autumn
The Gypsy - 78rpm Version,2014-04-18,2014,new millennium,Spring
C U When U Get There,1997-08-26,1997,Nighnties,Summer
Put That Woman First,2002-11-05,2003,new millennium,Autumn
Hard to Get,2022-02-11,2022,new millennium,Winter
Lost in Your Eyes,1989-01-10,1989,Eighties,Winter
On My Mind,2015-11-06,2016,new millennium,Autumn
Hawaii Five-O,1969-06-03,1969,Sixties,Summer
I Don't Want to Talk About It - 2008 Remaster,1975-05-03,1989,Seventies,Spring
(Just Like) Starting Over - Remastered 2010,1980-11-17,1981,Eighties,Autumn
Headlines,2011-11-15,2011,new millennium,Autumn
Don't Cry Out Loud,1978-04-01,1979,Seventies,Spring
Time,1980-11-01,1981,Eighties,Autumn
Lisbon Antigua,1963-01-01,1963,Sixties,Winter
All About That Bass,2015-01-09,2015,new millennium,Winter
Can You Feel The Love Tonight,1995-11-06,1995,Nighnties,Autumn
Absolutely (Story of a Girl) - Radio Mix,2000-05-16,2000,new millennium,Spring
Feels So Good,1977-12-08,1978,Seventies,Winter
Everytime You Go Away,2002-04-06,2002,new millennium,Spring
It's Goin' Down (feat. Nitti),2006-06-06,2006,new millennium,Summer
I'm Different (In the Style of 2 Chainz) [Karaoke Intrumental Version],2012-12-10,2013,new millennium,Winter
Because They're Young,2006-01-01,2006,new millennium,Winter
Ballad Of The Green Berets,1972-06-11,1972,Seventies,Summer
Desire,2018-04-20,2018,new millennium,Spring
good 4 u,2021-05-21,2022,new millennium,Spring
It's Not Unusual,1965-05-01,1965,Sixties,Spring
Shake It Off,2014-10-27,2014,new millennium,Autumn
Patches,1970-02-07,1970,Seventies,Winter
I Want to Be Your Man - Remastered Version,1987-02-08,1988,Eighties,Winter
Rock On,1973-03-05,1974,Seventies,Spring
As It Was,2022-03-31,2022,new millennium,Spring
Lil' Red Riding Hood,1972-05-07,1972,Seventies,Spring
U & Ur Hand (In The Style Of Pink),2011-03-29,2011,new millennium,Spring
Marry Me,2017-09-08,2018,new millennium,Autumn
When I'm Gone,2005-12-06,2006,new millennium,Winter
Bottoms Up (feat. Nicki Minaj),2010-09-14,2011,new millennium,Autumn
Funny How Time Slips Away,1996-09-07,1996,Nighnties,Autumn
Mr. Big Stuff,1971-04-11,1971,Seventies,Spring
6 Foot 7 Foot,2011-08-29,2011,new millennium,Summer
Blue Bayou,1977-03-09,1978,Seventies,Spring
Elenore,1968-03-08,1968,Sixties,Spring
Tennessee Waltz,1960-09-07,1960,Sixties,Autumn
Here's to the Night,2000-02-05,2001,new millennium,Winter
Hooked On Classics (Parts 1 & 2),1983-06-06,1983,Eighties,Summer
You Right,2021-06-25,2021,new millennium,Summer
Barbie Girl,1997-01-01,1997,Nighnties,Winter
Easy,1977-01-01,1977,Seventies,Winter
We Got A Love Thang,1992-01-01,1992,Nighnties,Winter
Old Cape Cod,1960-09-07,1960,Sixties,Autumn
Miss Me Blind - Remastered 2003,1983-10-01,1984,Eighties,Autumn
Me Too,2017-05-12,2017,new millennium,Spring
So Good,2012-04-27,2012,new millennium,Spring
Redneck Woman,2004-05-11,2004,new millennium,Spring
Too Close,1997-09-30,1998,Nighnties,Autumn
"Don't Let The Sun Go Down On Me - Live From Madison Square Garden, USA/1974",1976-04-30,1976,Seventies,Spring
Daydreamin',1998-10-23,1998,Nighnties,Autumn
Sealed with a Kiss,1972-07-01,1972,Seventies,Summer
One Woman,1992-11-13,1993,Nighnties,Autumn
I Can't Get Next To You,1969-01-01,1969,Sixties,Winter
Higher Love,1986-06-30,1986,Eighties,Summer
"Open The Door, Richard",2003-01-01,2003,new millennium,Winter
Touch Me (I Want Your Body),1986-07-07,1987,Eighties,Summer
Sending All My Love,2005-02-08,2005,new millennium,Winter
Call Me,2004-01-01,2004,new millennium,Winter
Chances Are (with Ray Conniff & His Orchestra),1958-03-17,1958,Fifties,Spring
If You,1999-04-08,1999,Nighnties,Spring
The Way You Do The Things You Do,1964-03-07,1964,Sixties,Spring
Sunny,1966-01-01,1966,Sixties,Winter
Girl On TV,1999-08-10,2000,Nighnties,Summer
Get Up (feat. Chamillionaire),2006-05-13,2006,new millennium,Spring
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,1961-01-01,1961,Sixties,Winter
"Never Again, Again",1997-01-01,2000,Nighnties,Winter
Shut Up and Dance,2014-12-02,2015,new millennium,Winter
Sentimental Lady,1977-01-01,1978,Seventies,Winter
Paris,2017-04-07,2017,new millennium,Spring
Vehicle,1970-05-08,1970,Seventies,Spring
Money Honey,2004-04-03,2004,new millennium,Spring
Love Is in Control (Finger on the Trigger),1982-07-19,1982,Eighties,Summer
The Boy Is Mine - Radio Edit,2018-06-29,2018,new millennium,Summer
Fly Robin Fly,2010-09-20,2010,new millennium,Autumn
Show Me (feat. Chris Brown),2014-01-06,2014,new millennium,Winter
Po Pimp,1996-02-09,1996,Nighnties,Winter
Dear Hearts And Gentle People,1997-11-04,1997,Nighnties,Autumn
Gimme That,2005-02-09,2006,new millennium,Winter
Stay,1992-02-17,1992,Nighnties,Winter
"Gee Whiz, Look at His Eyes",1961-01-01,1961,Sixties,Winter
The Cisco Kid,1976-01-01,1976,Seventies,Winter
Don’t Wanna Fall in Love,2023-04-27,2023,new millennium,Spring
Brown Eyed Girl,1967-09-01,1967,Sixties,Autumn
Total Eclipse Of The Heart - Dance Mix,2010-06-22,2010,new millennium,Summer
Hit Me Off,1996-01-01,1996,Nighnties,Winter
This Girl Is a Woman Now,1968-03-06,1969,Sixties,Spring
Dead And Gone,2008-09-07,2009,new millennium,Autumn
Still into You,2013-04-05,2013,new millennium,Spring
Peggy Sue,1958-01-01,1958,Fifties,Winter
Rock Wit U (Awww Baby),2003-01-01,2003,new millennium,Winter
When You're Gone,2002-09-16,2002,new millennium,Autumn
What About Your Friends,1992-02-25,1992,Nighnties,Winter
Through The Wire,2004-02-10,2004,new millennium,Winter
This Lil' Game We Play,2013-01-22,2013,new millennium,Winter
How Sweet It Is (To Be Loved By You) - 2019 Remaster,1975-05-01,1975,Seventies,Spring
Fox On The Run,1993-01-01,1993,Nighnties,Winter
Saving All My Love for You,1985-02-14,1985,Eighties,Winter
Too Late For Goodbyes,1984-01-01,1985,Eighties,Winter
I'll Be,1996-01-01,1997,Nighnties,Winter
Nothing From Nothing,1974-01-01,1974,Seventies,Winter
Trying,1955-12-10,1955,Fifties,Winter
Mockingbird,2011-01-01,2011,new millennium,Winter
U Got It Bad,2001-08-07,2002,new millennium,Summer
Natural,2018-11-09,2018,new millennium,Autumn
Summer Nights - From “Grease”,2023-05-22,2023,new millennium,Spring
"Somewhere Out There - From ""An American Tail"" Soundtrack",1986-01-01,1987,Eighties,Winter
As Good As I Once Was,2005-01-01,2005,new millennium,Winter
Anytime - Remastered,2001-07-10,2001,new millennium,Summer
Frozen,2021-12-03,2021,new millennium,Winter
I Want Crazy - Encore,2011-04-08,2013,new millennium,Spring
50 Ways to Say Goodbye,2012-04-17,2012,new millennium,Spring
Unwell,2002-11-01,2003,new millennium,Autumn
If Today Was Your Last Day,2008-10-28,2009,new millennium,Autumn
Steppin' Out,1982-01-01,1983,Eighties,Winter
All I Want,1991-08-27,1992,Nighnties,Summer
Night Moves,1976-10-22,1977,Seventies,Autumn
Hate Me,2006-01-01,2006,new millennium,Winter
Dance Ballerina Dance,1949-12-03,1949,Fourties,Winter
Roses,2003-03-07,2004,new millennium,Spring
The Sweetest Days,1994-01-01,1995,Nighnties,Winter
She's so High,1999-02-23,1999,Nighnties,Winter
My Way (feat. Monty),2015-09-25,2015,new millennium,Autumn
Hold Your Head Up,1971-04-07,1972,Seventies,Spring
Dynamite,2020-11-20,2021,new millennium,Autumn
ABC,1970-05-08,1970,Seventies,Spring
Just Kickin' It,1993-10-12,1994,Nighnties,Autumn
O,2005-02-22,2005,new millennium,Winter
All Time Low,2016-06-10,2017,new millennium,Summer
(You’re My) Soul & Inspiration,2008-01-01,2008,new millennium,Winter
Something Just Like This,2017-02-22,2017,new millennium,Winter
deja vu,2021-05-21,2021,new millennium,Spring
Let's Wait Awhile,1986-02-04,1987,Eighties,Winter
Drift Away - Single Version,2001-01-01,2001,new millennium,Winter
Gloria,1995-06-06,1995,Nighnties,Summer
No Other Love (with Henri René & His Orchestra and Chorus),1999-09-28,1999,Nighnties,Autumn
Total Eclipse of the Heart,2009-03-26,2009,new millennium,Spring
Thank The Lord For The Night Time,1968-05-06,1968,Sixties,Spring
What Have I Done to Deserve This? (with Dusty Springfield) - 2018 Remaster,1987-09-07,1988,Eighties,Autumn
Counting Stars,2014-01-01,2014,new millennium,Winter
Auf Wiederseh'n Sweetheart - 2017 Version,2017-03-17,2017,new millennium,Spring
Blame It on the Rain,2011-06-03,2011,new millennium,Summer
Girlfight - radio edit feat. Big Boi & Lil Jon,2004-01-01,2005,new millennium,Winter
(I Love You) For Sentimental Reasons,1954-01-01,1954,Fifties,Winter
Just My Imagination (Running Away With Me),1971-01-01,1971,Seventies,Winter
All She Wants To Do Is Dance,1984-01-01,1985,Eighties,Winter
We Don't Have To Take Our Clothes Off,2011-01-01,2011,new millennium,Winter
After The Lovin',2005-01-01,2005,new millennium,Winter
Fire and Rain - 2019 Remaster,1970-02-01,1970,Seventies,Winter
Second Chance,2008-06-24,2009,new millennium,Summer
Stereo Hearts (feat. Adam Levine),2011-11-11,2011,new millennium,Autumn
You’ve Lost That Lovin Feelin’,2008-01-01,2008,new millennium,Winter
G.H.E.T.T.O.U.T.,1997-05-30,1997,Nighnties,Spring
It Ain't Me Babe (Stereo),1965-05-19,1965,Sixties,Spring
Heaven,1997-03-14,1998,Nighnties,Spring
Singing the Blues,1950-04-07,1956,Fifties,Spring
The Fly - 2016 Re-Recorded Version,2016-09-16,2016,new millennium,Autumn
The Little Shoemaker,1996-01-01,1996,Nighnties,Winter
Don’t Let Go (Love),2023-05-11,2023,new millennium,Spring
Soul Finger,1992-05-08,1992,Nighnties,Spring
Because of You,2006-09-26,2006,new millennium,Autumn
Shower Me With Your Love,1988-06-15,1989,Eighties,Summer
Ain't No Mountain High Enough (Originally Performed By Marvin Gaye & Tammi Terrell) [Karaoke Backing Track],2013-04-17,2013,new millennium,Spring
Good Girl,2012-05-01,2012,new millennium,Spring
Flower Shops (feat. Morgan Wallen),2022-03-11,2022,new millennium,Spring
Pink Shoe Laces,2013-05-01,2013,new millennium,Spring
I’ll Never Find Another You,2019-08-23,2019,new millennium,Summer
Take A Bow,2008-06-02,2008,new millennium,Summer
Love You Inside Out,1979-02-05,1979,Seventies,Winter
Would I Lie to You? - Remastered Version,1985-04-29,1985,Eighties,Spring
Ass Back Home (feat. Neon Hitch),2011-11-11,2012,new millennium,Autumn
Sign of the Times,2017-05-12,2017,new millennium,Spring
Poetry In Motion - 1960 #2 Billboard chart hit,1962-05-07,1962,Sixties,Spring
Diamonds and Pearls,1991-10-01,1992,Nighnties,Autumn
In A Minute,2022-10-14,2022,new millennium,Autumn
Missing You,1984-01-01,1984,Eighties,Winter
The Great Escape,2006-06-05,2007,new millennium,Summer
You Got Lucky,1982-11-02,1983,Eighties,Autumn
No Air (feat. Chris Brown),2013-06-24,2013,new millennium,Summer
Hold Me Now,1984-01-01,1984,Eighties,Winter
Because Of You,1960-05-01,1960,Sixties,Spring
I Like That,2004-01-01,2004,new millennium,Winter
What a Girl Wants,1999-03-08,2000,Nighnties,Spring
Uh Huh,2002-03-09,2002,new millennium,Spring
Lovesong - 2010 Remaster,1989-05-02,1989,Eighties,Spring
('Till) I Kissed You,1957-04-15,1959,Fifties,Spring
Said Sum,2020-09-18,2020,new millennium,Autumn
Up,2021-02-04,2021,new millennium,Winter
I Take It Back,2009-09-01,2009,new millennium,Autumn
Daydream,1966-03-01,1966,Sixties,Spring
Love Me,2013-01-01,2013,new millennium,Winter
I’m a Mess (with YUNGBLUD),2022-11-03,2022,new millennium,Autumn
Blue Ridge Mountains,2008-06-03,2008,new millennium,Summer
Coming Home,2010-01-01,2011,new millennium,Winter
Nice & Slow - Radio Version,1997-09-16,1998,Nighnties,Autumn
The Happiest Girl In The Whole U.S.A.,1986-01-01,1986,Eighties,Winter
Moonglow and Theme from Picnic,1991-05-08,1991,Nighnties,Spring
More Today Than Yesterday,2010-11-02,2010,new millennium,Autumn
The Naughty Lady of Shady Lane,1950-11-26,1955,Fifties,Autumn
I'm The Only One,1993-01-01,1995,Nighnties,Winter
My First Kiss (feat. Ke$ha),2010-06-25,2010,new millennium,Summer
Loyal (feat. Lil Wayne & Tyga),2014-09-16,2014,new millennium,Autumn
Back To Back,2015-07-31,2015,new millennium,Summer
Be Careful,2018-04-06,2018,new millennium,Spring
Never Keeping Secrets,1993-08-24,1994,Nighnties,Summer
Billie Jean,2008-02-08,2008,new millennium,Winter
Take Good Care Of Her,2005-06-11,2005,new millennium,Summer
Power of Love / Love Power,1991-04-26,1991,Nighnties,Spring
Closer to Free,1993-10-12,1996,Nighnties,Autumn
Giving You The Benefit,1990-01-01,1990,Nighnties,Winter
Big Girls Don't Cry (Personal),2006-09-13,2008,new millennium,Autumn
Poison,1989-07-25,1989,Eighties,Summer
Caramel,2001-01-01,2002,new millennium,Winter
Pretend,1954-01-01,1954,Fifties,Winter
Your Love Is,2020-11-06,2020,new millennium,Autumn
"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",2007-08-14,2008,new millennium,Summer
You Needed Me,1978-07-07,1978,Seventies,Summer
It's Like That,2005-04-12,2005,new millennium,Spring
The Motown Song (with The Temptations),1991-06-08,1991,Nighnties,Summer
What in the World's Come Over You - Remastered 1990,2011-01-01,2011,new millennium,Winter
Smoke! Smoke! Smoke! (That Cigarette),1960-01-01,1960,Sixties,Winter
Not Afraid,2010-06-18,2010,new millennium,Summer
That's What Love Can Do - Radio Mix,1993-06-06,1993,Nighnties,Summer
Ransom,2019-08-30,2019,new millennium,Summer
The Box,2019-12-06,2020,new millennium,Winter
"For the Love of You, Pts. 1 & 2",1975-08-21,2001,Seventies,Summer
Nice For What,2018-06-29,2018,new millennium,Summer
Boogie Woogie Bugle Boy,1972-05-14,1973,Seventies,Spring
He Loves You Not,2022-09-23,2022,new millennium,Autumn
I Keep Forgettin' (Every Time You're Near),1982-08-03,1982,Eighties,Summer
Déjà Vu (Uptown Baby),2019-04-19,2019,new millennium,Spring
Send For Me,1991-01-01,1991,Nighnties,Winter
The Horse,2008-01-01,2008,new millennium,Winter
Good Luck Charm,2022-02-18,2022,new millennium,Winter
Diana,1966-06-09,1966,Sixties,Summer
Waiting On the World to Change,2006-09-11,2007,new millennium,Autumn
you broke me first,2020-04-17,2021,new millennium,Spring
All I Have to Do Is Dream,1964-08-01,1964,Sixties,Summer
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",1991-05-12,1991,Nighnties,Spring
Blueberry Hill,1959-01-01,1959,Fifties,Winter
Battlefield,2009-07-20,2009,new millennium,Summer
Take My Breath - Single Version,2023-05-23,2023,new millennium,Spring
Need to Know,2021-06-25,2022,new millennium,Summer
Kokomo,2003-01-01,2003,new millennium,Winter
Just Like Jesse James,1989-01-01,1990,Eighties,Winter
Drop It Like It's Hot,2004-01-01,2005,new millennium,Winter
Only God Knows Why,1998-08-05,2000,Nighnties,Summer
When It's Over - David Kahne Main,2001-06-12,2001,new millennium,Summer
Because - 2019 - Remaster,1964-08-03,1964,Sixties,Summer
Paper Roses,1974-01-01,1974,Seventies,Winter
Color Him Father,1969-12-15,1969,Sixties,Winter
Down Yonder,2009-07-13,2009,new millennium,Summer
Sha-La-La (Make Me Happy),1974-10-02,1975,Seventies,Autumn
Birthday Cake,2011-11-19,2012,new millennium,Autumn
Cherish,2009-09-18,2009,new millennium,Autumn
Dance Ballerina Dance,1949-12-03,1949,Fourties,Winter
Cara Mia,1965-06-01,1965,Sixties,Summer
Time After Time,1983-10-14,1984,Eighties,Autumn
"A Little Bit Me, a Little Bit You",2001-05-16,2001,new millennium,Spring
24/7,1999-10-12,2000,Nighnties,Autumn
"1,2,3 Red Light",1968-10-01,1968,Sixties,Autumn
Starboy,2016-11-25,2016,new millennium,Autumn
Love Somebody,2012-01-01,2013,new millennium,Winter
Not Over You,2011-09-16,2012,new millennium,Autumn
