Song,Album Release Date,Hot100 Ranking Year,Decade,Season
Secret Love,1953-11-09,1954,Fifties,Autumn
No Not Much,1953-03-11,1956,Fifties,Spring
Far Away Places - 1949 Single Version / With 1954 Spoken Introduction,1954-08-01,1954,Fifties,Summer
Mona Lisa,1954-01-01,1954,Fifties,Winter
(I Love You) For Sentimental Reasons,1954-01-01,1954,Fifties,Winter
(I Love You) For Sentimental Reasons,1954-01-01,1954,Fifties,Winter
Our Winter Love - Single Version,1954-08-15,1963,Fifties,Summer
Sioux City Sue - 1946 Single Version / With 1954 Spoken Introduction,1954-08-01,1954,Fifties,Summer
That's Amore,1954-05-10,1954,Fifties,Spring
A Tree In The Meadow - Remastered 1990,1954-01-01,1954,Fifties,Winter
Wolverton Mountain,1954-07-17,1962,Fifties,Summer
Sam's Song (The Happy Tune) - 1950 Single Version / With 1954 Spoken Introduction,1954-08-01,1954,Fifties,Summer
Pretend,1954-01-01,1954,Fifties,Winter
I Believe,1955-02-14,1955,Fifties,Winter
"Rose, Rose, I Love You",1955-02-14,1955,Fifties,Winter
"Shake, Rattle And Roll",1955-12-19,1955,Fifties,Winter
Peg O' My Heart,1955-04-01,1955,Fifties,Spring
(We're Gonna) Rock Around The Clock,1955-12-19,1955,Fifties,Winter
Sixteen Tons,1955-04-10,1956,Fifties,Spring
Little White Lies,1955-12-28,1955,Fifties,Winter
P.S. I Love You,1955-12-10,1955,Fifties,Winter
Trying,1955-12-10,1955,Fifties,Winter
High Noon (Do Not Forsake Me),1955-02-14,1955,Fifties,Winter
Silhouettes,1956-12-03,1957,Fifties,Winter
My Prayer,1956-09-10,1956,Fifties,Autumn
Peter Gunn Theme,1956-02-17,1959,Fifties,Winter
Let's Fall in Love,1956-07-06,1956,Fifties,Summer
"Bewitched, Bothered, And Bewildered",1956-01-01,1956,Fifties,Winter
Flyin' Saucers Rock & Roll,1956-01-01,1956,Fifties,Winter
A Tear Fell,1956-08-01,1956,Fifties,Summer
('Till) I Kissed You,1957-04-15,1959,Fifties,Spring
April In Portugal,1957-01-01,1957,Fifties,Winter
Melody Of Love,1957-01-01,1957,Fifties,Winter
Whole Lot Of Shakin' Going On - Single Version,1957-01-01,1957,Fifties,Winter
The Poor People Of Paris (Jean's Song),1957-01-01,1957,Fifties,Winter
Honeycomb,1957-07-20,1957,Fifties,Summer
Blue Suede Shoes,1957-01-01,1957,Fifties,Winter
Autumn Leaves,1957-09-09,1957,Fifties,Autumn
Quiet Village - Original Mono Version,1957-05-01,1959,Fifties,Spring
Personality,1957-01-01,1957,Fifties,Winter
Be-Bop Baby - Remastered,1957-11-01,1957,Fifties,Autumn
(Let Me Be Your) Teddy Bear,1957-06-20,1957,Fifties,Summer
Jingle Bell Rock,1957-12-02,2022,Fifties,Winter
Rainbow,1957-03-10,1957,Fifties,Spring
Step By Step,1958-12-04,1960,Fifties,Winter
Chances Are (with Ray Conniff & His Orchestra),1958-03-17,1958,Fifties,Spring
Rockin' Robin,1958-01-01,1958,Fifties,Winter
"Love Theme from ""Romeo And Juliet""",1958-04-16,1969,Fifties,Spring
Poor Little Fool - Remastered,1958-07-01,1958,Fifties,Summer
It's Not For Me To Say,1958-03-17,1958,Fifties,Spring
Cry,1958-04-01,1958,Fifties,Spring
Canadian Sunset - Single Version,1958-05-23,1958,Fifties,Spring
Tell Laura I Love Her,1958-11-26,1960,Fifties,Autumn
It's All In The Game,1958-07-08,1958,Fifties,Summer
Tom Dooley,1958-06-01,1958,Fifties,Summer
Sweet Little Sixteen,1958-03-01,1958,Fifties,Spring
Twilight Time - Single Version,1958-01-01,1958,Fifties,Winter
Peggy Sue,1958-01-01,1958,Fifties,Winter
Splish Splash,1958-04-15,1958,Fifties,Spring
Hard Headed Woman,1958-09-19,1958,Fifties,Autumn
That Lucky Old Sun,1958-03-11,1958,Fifties,Spring
Return To Me (Ritorna-Me) - 1997 Remaster,1958-07-08,1958,Fifties,Summer
Sail Along Silv'ry Moon,1958-01-01,1958,Fifties,Winter
"I Want You, I Need You, I Love You",1958-03-21,1958,Fifties,Spring
Jezebel,1958-05-14,1958,Fifties,Spring
Missing You,1958-11-26,1961,Fifties,Autumn
Hound Dog,1958-03-21,1958,Fifties,Spring
Days of Wine and Roses,1958-05-14,1963,Fifties,Spring
Endless Sleep,1958-12-24,1958,Fifties,Winter
Blue Monday,1959-01-01,1959,Fifties,Winter
"See You Later, Alligator",1959-01-05,1959,Fifties,Winter
Since I Don't Have You (Alternative Take),1959-09-26,1959,Fifties,Autumn
Mama,1959-11-01,1960,Fifties,Autumn
Young Love,1959-01-01,1959,Fifties,Winter
Lipstick On Your Collar,1959-11-01,1959,Fifties,Autumn
Stairway to Heaven,1959-06-12,1960,Fifties,Summer
Smoke Gets In Your Eyes,1959-01-01,1959,Fifties,Winter
Pretty Little Angel Eyes,1959-05-06,1961,Fifties,Spring
Without You,1959-03-05,1961,Fifties,Spring
Blueberry Hill,1959-01-01,1959,Fifties,Winter
Mack the Knife,1959-08-24,1959,Fifties,Summer
It's Late,1959-01-01,1959,Fifties,Winter
Hold My Hand,1959-12-10,1959,Fifties,Winter
Just A Little Too Much - Remastered,1959-01-01,1959,Fifties,Winter
My Heart Is an Open Book,1959-05-20,1959,Fifties,Spring
Never Be Anyone Else But You - Remastered,1959-01-01,1959,Fifties,Winter
Turn Me Loose,1959-12-03,1959,Fifties,Winter
Broken Hearted Melody,1959-01-01,1959,Fifties,Winter
Tragedy,1959-06-12,1959,Fifties,Summer
Lonely Teardrops,1959-05-08,1959,Fifties,Spring
Lonesome Town,1959-01-01,1959,Fifties,Winter
Stagger Lee,1959-01-01,1959,Fifties,Winter
Greenfields,1959-12-21,1960,Fifties,Winter
Take Five,1959-12-14,1961,Fifties,Winter
So Tired,1959-03-17,1959,Fifties,Spring
Beyond the Sea,1959-04-04,1960,Fifties,Spring
Sweeter Than You - Remastered / Alternate Version,1959-01-01,1959,Fifties,Winter
The Big Hurt,1959-05-06,1960,Fifties,Spring
Red River Rock,1959-01-01,1959,Fifties,Winter
I Only Have Eyes for You,1959-08-11,1959,Fifties,Summer
Donna - Single Version,1959-02-06,1959,Fifties,Winter
Butterfly - 1957 #1 Billboard chart hit,1959-05-14,1959,Fifties,Spring
I Need Your Love Tonight - Live,1959-11-13,1959,Fifties,Autumn
Tiger,1959-12-03,1959,Fifties,Winter
That's Why (I Love You So),1959-07-11,1959,Fifties,Summer
Personality,1959-01-01,1959,Fifties,Winter
It Keeps Right on A-Hurtin',1959-06-19,1962,Fifties,Summer
Kansas City,1959-04-10,1959,Fifties,Spring
The Village of St. Bernadette - 1959 #7 Billboard chart hit,1959-07-14,1960,Fifties,Summer
Calendar Girl,1959-06-12,1961,Fifties,Summer
My Wish Came True,1959-11-13,1959,Fifties,Autumn
Blueberry Hill,1959-01-01,1959,Fifties,Winter
Battle Hymn of the Republic,1959-03-01,1959,Fifties,Spring
Where Or When,1959-01-01,1960,Fifties,Winter
What A Diff'rence A Day Made,1959-02-19,1959,Fifties,Winter
El Paso,1959-04-14,1960,Fifties,Spring
There's a Moon Out Tonight,1959-11-26,1961,Fifties,Autumn
Tennessee Waltz,1960-09-07,1960,Sixties,Autumn
Breaking Up Is Hard to Do,1960-12-30,1976,Sixties,Winter
I Want To Be Wanted (Per Tutta La Vita),1960-10-10,1960,Sixties,Autumn
That's All You Gotta Do,1960-08-01,1960,Sixties,Summer
Take A Message To Mary,1960-07-12,1960,Sixties,Summer
A Rockin' Good Way (To Mess Around And Fall In Love),1960-07-05,1960,Sixties,Summer
Old Cape Cod,1960-09-07,1960,Sixties,Autumn
Changing Partners,1960-09-07,1960,Sixties,Autumn
So Sad (To Watch Good Love Go Bad) - 2007 Remaster,1960-01-01,1960,Sixties,Winter
Cradle of Love,1960-12-03,1960,Sixties,Winter
Devil Or Angel,1960-01-01,1960,Sixties,Winter
Sweet Nothin's,1960-08-01,1960,Sixties,Summer
Bongo Rock,1960-05-26,1960,Sixties,Spring
Teen Beat,1960-01-01,1960,Sixties,Winter
Teen Angel,1960-12-24,1960,Sixties,Winter
Doggin' Around,1960-05-13,1960,Sixties,Spring
Walking To New Orleans,1960-08-07,1960,Sixties,Summer
Because Of You,1960-05-01,1960,Sixties,Spring
Smoke! Smoke! Smoke! (That Cigarette),1960-01-01,1960,Sixties,Winter
Tall Paul,1960-01-01,1960,Sixties,Winter
Cathy's Clown - 2007 Remaster,1960-10-01,1960,Sixties,Autumn
Running Bear,1960-12-03,1960,Sixties,Winter
Tennessee Waltz,1960-09-07,1960,Sixties,Autumn
Wheels,1960-04-21,1961,Sixties,Spring
Cross Over The Bridge,1960-09-07,1960,Sixties,Autumn
I Love The Way You Love,1960-10-01,1960,Sixties,Autumn
(How Much Is That) Doggie In The Window,1960-09-07,1960,Sixties,Autumn
Allegheny Moon,1960-09-07,1960,Sixties,Autumn
Harbor Lights,1960-01-01,1960,Sixties,Winter
O Dio Mio,1960-01-01,1960,Sixties,Winter
Lonely Weekends - Remastered 2022,1960-08-01,1960,Sixties,Summer
Alley Oop,1960-12-03,1960,Sixties,Winter
You Got What It Takes,1960-01-01,1960,Sixties,Winter
Lonely Blue Boy,1960-01-01,1960,Sixties,Winter
Good Timin',1960-01-01,1960,Sixties,Winter
Unchained Melody,1960-05-01,1960,Sixties,Spring
I Went To Your Wedding,1960-09-07,1960,Sixties,Autumn
Mule Skinner Blues,1960-01-01,1960,Sixties,Winter
Handy Man,1960-01-01,1960,Sixties,Winter
Dreamin',1960-09-24,1960,Sixties,Autumn
"Walk, Don't Run - Stereo",1960-01-01,1960,Sixties,Winter
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,1961-01-01,1961,Sixties,Winter
I Fall To Pieces - Single Version,1961-11-27,1961,Sixties,Autumn
Dum Dum,1961-08-07,1961,Sixties,Summer
Don't You Know,1961-12-22,1961,Sixties,Winter
Big Bad John,1961-04-15,1962,Sixties,Spring
The Cry of the Wild Goose,1961-03-20,1961,Sixties,Spring
"Gee Whiz, Look at His Eyes",1961-01-01,1961,Sixties,Winter
Wonderland By Night (Wunderland bei Nacht),1961-01-01,1961,Sixties,Winter
One Mint Julep,1961-03-01,1961,Sixties,Spring
Big Bad John,1961-05-19,1961,Sixties,Spring
Moon River(Vocal Audrey Hepburn),1961-05-05,1962,Sixties,Spring
Last Night,1961-03-09,1961,Sixties,Spring
Love Letters (Alternate Take),1961-12-03,1962,Sixties,Winter
Travelin' Man - Remastered,1961-01-01,1961,Sixties,Winter
Shop Around,1961-01-01,1961,Sixties,Winter
Yellow Bird,1961-06-13,1961,Sixties,Summer
What's Your Name,1961-05-06,1962,Sixties,Spring
"Who Put the Bomp (In the Bomp, Bomp, Bomp)",1961-05-26,1961,Sixties,Spring
Blue Moon - 45 Version,1961-05-12,1961,Sixties,Spring
Rubber Ball,1961-01-01,1961,Sixties,Winter
Sink The Bismarck,1961-03-01,1961,Sixties,Spring
On the Rebound,1961-01-01,1961,Sixties,Winter
Runaway,1961-01-01,1961,Sixties,Winter
Raindrops,1961-04-23,1961,Sixties,Spring
Only the Lonely,1961-06-05,1961,Sixties,Summer
One Track Mind,1961-09-14,1961,Sixties,Autumn
Footsteps,1961-01-01,1961,Sixties,Winter
San Antonio Rose,1961-06-10,1961,Sixties,Summer
Chain Gang,1961-03-01,1961,Sixties,Spring
Mule Train,1961-03-20,1961,Sixties,Spring
Primrose Lane,1961-06-11,1961,Sixties,Summer
I Love How You Love Me,1961-11-26,1961,Sixties,Autumn
The Wanderer,1961-04-22,1962,Sixties,Spring
My True Story,1961-12-24,1961,Sixties,Winter
Happy-Go-Lucky-Me,1961-12-24,1961,Sixties,Winter
Let's Twist Again,1961-01-01,1961,Sixties,Winter
Pretty Blue Eyes,1961-01-01,1961,Sixties,Winter
Runaround Sue,1961-06-15,1961,Sixties,Summer
A Hundred Pounds Of Clay,1961-08-21,1961,Sixties,Summer
Spanish Harlem,1961-04-09,1961,Sixties,Spring
Young Love,1961-11-26,1961,Sixties,Autumn
Poetry In Motion - 1960 #2 Billboard chart hit,1962-05-07,1962,Sixties,Spring
The One Who Really Loves You - Single Version,1962-05-15,1962,Sixties,Spring
Running Scared,1962-01-01,1962,Sixties,Winter
Walk On The Wild Side,1962-01-01,1962,Sixties,Winter
Johnny Angel - Single Version,1962-05-05,1962,Sixties,Spring
Stand by Me,1962-08-20,1987,Sixties,Summer
"Oh, Pretty Woman",1962-04-11,1964,Sixties,Spring
Having a Party,1962-03-12,1962,Sixties,Spring
Things,1962-06-13,1962,Sixties,Summer
Breakin' In A Brand New Broken Heart,1962-04-10,1962,Sixties,Spring
Let's Dance,1962-01-01,1962,Sixties,Winter
Sheila,1962-01-01,1962,Sixties,Winter
Stand by Me,1962-08-20,1962,Sixties,Summer
Twistin' the Night Away,1962-04-01,1962,Sixties,Spring
Blue Velvet,1962-04-19,1963,Sixties,Spring
Surfin' Safari - Mono/Remastered 2001,1962-10-01,1962,Sixties,Autumn
Shout Shout (Knock Yourself Out),1962-07-04,1962,Sixties,Summer
Twenty Miles,1962-01-01,1963,Sixties,Winter
Here In My Heart,1962-01-01,1962,Sixties,Winter
Please Stay - Single Version,1962-03-11,1962,Sixties,Spring
She Cried,1962-05-29,1962,Sixties,Spring
Monster Mash,1962-02-03,1973,Sixties,Winter
Theme From Dr. Kildare (Three Stars Will Shine Tonight),1962-02-03,1962,Sixties,Winter
Gravy (For My Mashed Potatoes),1962-01-01,1962,Sixties,Winter
Ramblin' Rose,1962-04-13,1962,Sixties,Spring
Take Good Care Of My Baby,1962-02-01,1962,Sixties,Winter
Sherry,1962-10-01,1962,Sixties,Autumn
Uptown,1962-06-16,1962,Sixties,Summer
Crying,1962-01-01,1962,Sixties,Winter
You Can Depend On Me,1962-10-15,1962,Sixties,Autumn
The Wah Watusi,1962-01-01,1962,Sixties,Winter
A Swingin' Safari,1962-01-01,1962,Sixties,Winter
Green Onions,1962-06-09,1962,Sixties,Summer
Pony Time,1962-01-01,1962,Sixties,Winter
Mashed Potato Time,1962-01-01,1962,Sixties,Winter
You Beat Me To The Punch,1962-04-12,1962,Sixties,Spring
Hats off to Larry,1962-01-01,1962,Sixties,Winter
Rinky Dink,1962-01-01,1962,Sixties,Winter
Johnny Get Angry,1962-03-07,1962,Sixties,Spring
Hey Little Cobra,1962-05-12,1964,Sixties,Spring
Crying in the Rain,1962-06-01,1962,Sixties,Summer
It's Over,1962-04-13,1964,Sixties,Spring
Do The Bird,1962-01-01,1963,Sixties,Winter
Baby Talk,1962-01-01,1962,Sixties,Winter
She's Got You - Single Version,1962-05-13,1962,Sixties,Spring
Lisbon Antigua,1963-01-01,1963,Sixties,Winter
Little Town Flirt,1963-01-01,1963,Sixties,Winter
For Your Sweet Love,1963-01-01,1964,Sixties,Winter
Come And Get These Memories,1963-04-09,1963,Sixties,Spring
More (Theme From Mondo Cane),1963-07-07,1963,Sixties,Summer
"Green, Green",1963-10-01,1963,Sixties,Autumn
Surfin' U.S.A. - Remastered 2001,1963-03-25,1963,Sixties,Spring
Pride And Joy - Album Version / Mono,1963-12-01,1963,Sixties,Winter
Blowin' in the Wind,1963-02-09,1963,Sixties,Winter
Just One Look,1963-04-07,1963,Sixties,Spring
Cry Baby,1963-01-01,1963,Sixties,Winter
In Dreams,1963-02-01,1963,Sixties,Winter
Twist And Shout - Remastered 2009,1963-03-22,1964,Sixties,Spring
So Much In Love,1963-01-01,1963,Sixties,Winter
Sugar Shack,1963-10-01,1963,Sixties,Autumn
Baby Workout,1963-06-16,1963,Sixties,Summer
Walk Like a Man,1963-02-01,1963,Sixties,Winter
Pipeline,1963-03-07,1963,Sixties,Spring
"Puff, the Magic Dragon",1963-07-10,1963,Sixties,Summer
Two Faces Have I,1963-01-01,1963,Sixties,Winter
Hey Paula,1963-11-28,1963,Sixties,Autumn
"Those Lazy, Hazy, Crazy Days Of Summer",1963-04-01,1963,Sixties,Spring
You've Really Got A Hold On Me - Live At The Apollo Theater/1963,1963-01-01,1963,Sixties,Winter
I Love You Because,1963-07-07,1963,Sixties,Summer
Donna the Prima Donna,1963-12-10,1963,Sixties,Winter
"That Sunday, That Summer",1963-04-01,1963,Sixties,Spring
Do You Want To Know A Secret - Remastered 2009,1963-03-22,1964,Sixties,Spring
Fools Rush In,1963-01-01,1963,Sixties,Winter
Hello Stranger,1963-01-01,1963,Sixties,Winter
Rhythm of the Rain,1963-03-16,1963,Sixties,Spring
Losing You,1963-09-12,1963,Sixties,Autumn
Ruby Baby,1963-12-31,1963,Sixties,Winter
Young At Heart,1963-08-01,1963,Sixties,Summer
The Night Has A Thousand Eyes,1963-01-01,1963,Sixties,Winter
Abilene,1963-12-17,1963,Sixties,Winter
Wonderful! Wonderful!,1963-01-01,1963,Sixties,Winter
The Loco-Motion - Single Version,1963-07-11,1963,Sixties,Summer
It's My Party,1963-06-01,1963,Sixties,Summer
Do Wah Diddy Diddy - 2007 Remaster,1963-03-02,1964,Sixties,Spring
Washington Square,1963-11-26,1963,Sixties,Autumn
Stuck on You,1963-08-11,1963,Sixties,Summer
I Wanna Be Around...,1963-02-18,1963,Sixties,Winter
(Love Is Like A) Heat Wave,1963-09-20,1963,Sixties,Autumn
You Can't Sit Down,1963-01-01,1963,Sixties,Winter
Love Me Do - Remastered 2009,1963-03-22,1964,Sixties,Spring
Marianne,1963-12-24,1963,Sixties,Winter
Ring of Fire,1963-08-06,1963,Sixties,Summer
Easier Said Than Done,1963-01-15,1963,Sixties,Winter
You Don't Own Me,1963-11-01,1964,Sixties,Autumn
Little Things Mean a Lot,1963-11-26,1963,Sixties,Autumn
I Saw Her Standing There - Remastered 2009,1963-03-22,1964,Sixties,Spring
Break It To Me Gently,1963-09-12,1963,Sixties,Autumn
Please Please Me - Remastered 2009,1963-03-22,1964,Sixties,Spring
It's Gonna Work Out Fine,1963-02-16,1963,Sixties,Winter
Our Day Will Come,1963-01-01,1963,Sixties,Winter
Young Emotions - Remastered,1963-01-01,1963,Sixties,Winter
Glad All Over - 2019 - Remaster,1964-07-06,1964,Sixties,Summer
Out of Limits,1964-08-21,1964,Sixties,Summer
My Guy,1964-09-25,1964,Sixties,Autumn
Hi-Heel Sneakers,1964-01-01,1964,Sixties,Winter
Maria Elena,1964-08-26,1964,Sixties,Summer
Because - 2019 - Remaster,1964-08-03,1964,Sixties,Summer
"The Ballad of Davy Crockett (From Walt Disney's ""Davy Crockett"")",1964-06-07,1964,Sixties,Summer
Eight Days A Week - Remastered 2009,1964-12-04,1965,Sixties,Winter
Needles and Pins - Mono,1964-01-01,1964,Sixties,Winter
A Hard Day's Night - Remastered 2009,1964-07-10,1964,Sixties,Summer
Bits and Pieces - 2019 - Remaster,1964-07-06,1964,Sixties,Summer
Ain't That A Shame,1964-01-01,1964,Sixties,Winter
The Rock And Roll Waltz,1964-06-01,1964,Sixties,Summer
A World Without Love (Mono) - 2002 Remaster,1964-01-01,1964,Sixties,Winter
Baby Love,1964-08-31,1964,Sixties,Summer
Up on the Roof,1964-06-01,1964,Sixties,Summer
Wheel Of Fortune,1964-06-01,1964,Sixties,Summer
All I Have to Do Is Dream,1964-08-01,1964,Sixties,Summer
Another Saturday Night,1964-03-01,1964,Sixties,Spring
Love Me With All Your Heart (Cuando Caliente El Sol),1964-06-12,1964,Sixties,Summer
Oh! What It Seemed to Be,1964-09-12,1964,Sixties,Autumn
He'll Have to Go,1964-05-11,1964,Sixties,Spring
Everybody Loves Somebody,1964-06-19,1964,Sixties,Summer
Devoted to You,1964-08-01,1964,Sixties,Summer
Love Potion No. 9,1964-01-01,1965,Sixties,Winter
The Game Of Love,1964-01-01,1965,Sixties,Winter
A Walk In The Black Forest,1964-03-20,1965,Sixties,Spring
Wishin' And Hopin',1964-06-26,1964,Sixties,Summer
The Shelter of Your Arms,1964-03-08,1964,Sixties,Spring
Cotton Candy,1964-06-13,1964,Sixties,Summer
Bye Bye Love,1964-08-01,1964,Sixties,Summer
House Of The Rising Sun,1964-01-01,1964,Sixties,Winter
Ebb Tide,1964-05-15,1964,Sixties,Spring
"Walk, Don't Run '64",1964-01-01,1964,Sixties,Winter
The Little Old Lady (From Pasadena),1964-10-17,1964,Sixties,Autumn
The Way You Do The Things You Do,1964-03-07,1964,Sixties,Spring
(Just Like) Romeo & Juliet,1964-05-06,1964,Sixties,Spring
Red Roses For A Blue Lady,1964-01-01,1965,Sixties,Winter
Where Did Our Love Go,1964-08-31,1964,Sixties,Summer
(You Don't Know) How Glad I Am,1964-01-01,1964,Sixties,Winter
All Day and All of the Night,1964-10-02,1965,Sixties,Autumn
Today,1964-08-26,1964,Sixties,Summer
Rockin' Around The Christmas Tree,1964-10-19,2021,Sixties,Autumn
Memories Are Made Of This,1964-02-09,1964,Sixties,Winter
You Really Got Me,1964-10-02,1964,Sixties,Autumn
There! I've Said It Again,1964-09-07,1964,Sixties,Autumn
Do You Love Me - 2019 - Remaster,1964-07-06,1964,Sixties,Summer
"Hello, Dolly!",1964-10-25,1964,Sixties,Autumn
Wake up Little Susie,1964-08-01,1964,Sixties,Summer
I Get Around (Mono),1964-07-13,1964,Sixties,Summer
Come A Little Bit Closer,1964-02-10,1964,Sixties,Winter
"Hush, Hush, Sweet Charlotte",1965-07-22,1965,Sixties,Summer
I Want Candy,1965-06-12,1965,Sixties,Summer
Eve Of Destruction,1965-01-01,1965,Sixties,Winter
Just Once In My Life,1965-04-04,1965,Sixties,Spring
The Name Game,1965-01-01,1965,Sixties,Winter
Save Your Heart For Me,1965-08-01,1965,Sixties,Summer
Did You Ever Have to Make up Your Mind?,1965-11-01,1966,Sixties,Autumn
Like a Rolling Stone,1965-08-30,1965,Sixties,Summer
"Help Me, Rhonda - Single Version/Remastered 2001",1965-07-05,1965,Sixties,Summer
Yes. I'm Ready,1965-01-01,1965,Sixties,Winter
Nowhere Man - Remastered 2009,1965-12-03,1966,Sixties,Winter
A Well Respected Man,1965-03-05,1966,Sixties,Spring
Do You Believe in Magic?,1965-11-01,1965,Sixties,Autumn
"Seventh Son - Live At Whisky A Go-Go, Los Angeles, CA / 1965",1965-07-25,1965,Sixties,Summer
Ooo Baby Baby,1965-11-01,1965,Sixties,Autumn
Catch Us If You Can - 2019 - Remaster,1965-01-01,1965,Sixties,Winter
"Laugh, Laugh",1965-09-28,1965,Sixties,Autumn
(I Can't Get No) Satisfaction - Mono Version,1965-07-30,1965,Sixties,Summer
What The World Needs Now Is Love,1965-10-09,1965,Sixties,Autumn
Friday On My Mind,1965-01-01,1967,Sixties,Winter
I Got You Babe,1965-02-03,1965,Sixties,Winter
Cast Your Fate to the Wind,1965-06-05,1965,Sixties,Summer
The Very Thought Of You,1965-01-01,1965,Sixties,Winter
Don't Just Stand There,1965-01-01,1965,Sixties,Winter
It's Not Unusual,1965-05-01,1965,Sixties,Spring
Rebel Rouser,1965-11-24,1965,Sixties,Autumn
We Gotta Get Out Of This Place - UK Single Version,1965-09-01,1965,Sixties,Autumn
Just a Little,1965-07-18,1965,Sixties,Summer
I'm Henry the 8th (Re-Record),1965-07-18,1965,Sixties,Summer
Back In My Arms Again,1965-07-23,1965,Sixties,Summer
It's Not Unusual,1965-05-01,1970,Sixties,Spring
"Baby, I'm Yours",1965-02-01,1965,Sixties,Winter
Tired of Waiting for You,1965-03-05,1965,Sixties,Spring
Ticket To Ride - Remastered 2009,1965-08-06,1965,Sixties,Summer
Shotgun,1965-02-03,1965,Sixties,Winter
California Girls - Remix/Remastered 2001,1965-07-05,1965,Sixties,Summer
Keep Searchin' (We'll Follow the Sun),1965-01-01,1965,Sixties,Winter
Portrait of My Love,1965-07-22,1965,Sixties,Summer
Down in the Boondocks,1965-03-04,1965,Sixties,Spring
She's About a Mover,1965-10-06,1965,Sixties,Autumn
Looking Back,1965-08-01,1965,Sixties,Summer
Baby I Need Your Loving,1965-01-01,1965,Sixties,Winter
A Holly Jolly Christmas,1965-10-01,2022,Sixties,Autumn
Help! - Remastered 2009,1965-08-06,1965,Sixties,Summer
Stop! In The Name Of Love,1965-07-23,1965,Sixties,Summer
I Like it Like That - 2019 - Remaster,1965-09-06,1965,Sixties,Autumn
Cara Mia,1965-06-01,1965,Sixties,Summer
The Last Time - Mono Version,1965-07-30,1965,Sixties,Summer
This Diamond Ring,1965-03-01,1965,Sixties,Spring
Unchained Melody,1965-04-04,1965,Sixties,Spring
"Baby the Rain Must Fall - From the Columbia Film ""Baby the Rain Must Fall""",1965-08-26,1965,Sixties,Summer
Go Away Little Girl,1965-07-22,1965,Sixties,Summer
For Your Love - 2015 Remaster,1965-07-15,1965,Sixties,Summer
Mr. Tambourine Man,1965-06-21,1965,Sixties,Summer
Heart Full of Soul - 2015 Remaster,1965-05-19,1965,Sixties,Spring
