Song,Artist(s) Genres,Genres count,Weight,total weight of genres
No More Drama,"{' urban contemporary', ' r&b', 'dance pop', ' neo soul'}",4,1720,6880
Good Vibrations,"{' post-disco', ' diva house', 'disco', ' philly soul', ' hip house'}",5,247,1235
Replay,"{' post-teen pop', ' dance pop', 'pop rap'}",3,620,1860
I Found Someone,"{' dance pop', 'pop'}",2,1142,2284
Wildest Dreams (Taylor's Version),{'pop'},1,588,588
Sexy And I Know It,"{' pop rap', ' dance pop', 'pop'}",3,1521,4563
How You Gonna See Me Now,"{'protopunk', ' detroit rock', ' glam metal', ' glam rock', ' rock', ' classic rock', ' metal', ' album rock', ' hard rock'}",9,2380,21420
No Matter What Shape (Your Stomach's In),,0,0,0
Go Away Little Girl,"{'easy listening', ' adult standards'}",2,514,1028
Karaoke - Landslide,,0,0,0
Partition,"{' r&b', 'pop'}",2,1258,2516
Addict,{'otacore'},1,1,1
Bootylicious,"{' psychedelic rock', ' urban contemporary', ' r&b', ' rock-and-roll', ' soft rock', 'folk rock', ' classic rock', 'dance pop', ' mellow gold', ' country rock', ' folk', ' pop', ' girl group'}",13,5675,73775
Just A Girl,"{' dance rock', ' rock', ' permanent wave', 'dance pop', ' pop rock'}",5,1366,6830
One Less Bell To Answer,"{' soft rock', ' adult standards', ' sunshine pop', ' mellow gold', ' folk rock', ' singer-songwriter', 'motown', ' bubblegum pop'}",8,2891,23128
Save Your Heart For Me,"{'british invasion', ' bubblegum pop'}",2,204,408
Green-Eyed Lady,"{' psychedelic rock', ' southern rock', 'country rock', ' bubblegum pop'}",4,453,1812
Nobody's Supposed to Be Here,"{' r&b', ' vocal house', ' contemporary r&b', ' canadian pop', 'urban contemporary'}",5,1169,5845
I Feel for You,"{'soul', ' funk', ' quiet storm', ' disco', ' neo soul'}",5,1190,5950
Rude Boy,"{' urban contemporary', ' barbadian pop', 'pop'}",3,1233,3699
When She Cries,"{' country', ' classic country pop', 'country road'}",3,370,1110
My House,"{' pop rap', ' miami hip hop', ' dance pop', 'pop'}",4,1576,6304
The Most Beautiful Girl In the World,"{'funk rock', ' funk', ' rock', ' synth funk', ' minneapolis sound'}",5,962,4810
Tweedle Dee,{'deep adult standards'},1,52,52
Vaya Con Dios,{'space age pop'},1,12,12
Walk It Out,"{' dirty south rap', 'atl hip hop'}",2,203,406
Take It to the Limit - 2013 Remaster,"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' yacht rock'}",7,3780,26460
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","{' trap', ' conscious hip hop', ' rap', ' new orleans rap', ' chicago rap', ' hip hop', ' canadian pop', ' melodic rap', ' pop rap', ' atl hip hop', ' miami hip hop', 'pop'}",12,2898,34776
Twenty Five Miles,"{' classic soul', 'soul', ' northern soul', ' southern soul', ' motown'}",5,907,4535
"Me, Myself and I","{' r&b', 'pop'}",2,1258,2516
Jambalaya (On The Bayou),{'torch song'},1,14,14
Playground In My Mind - Single Version,,0,0,0
Rollout (My Business),"{' trap', ' dirty south rap', ' rap', 'southern hip hop', ' hip hop', ' pop rap', ' atl hip hop', ' old school atlanta hip hop', ' dance pop'}",9,2863,25767
Run This Town,"{'pop', ' urban contemporary', ' rap', ' chicago rap', ' east coast hip hop', ' gangster rap', ' hip hop', ' pop rap', ' barbadian pop'}",9,2909,26181
Lay Down (Candles In The Rain) - Long Version,"{' folk', 'persian pop'}",2,175,350
With A Little Luck - Remastered 1993,"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' folk rock', ' beatlesque', ' singer-songwriter'}",9,4345,39105
Like a Boy,"{' urban contemporary', ' r&b', 'hip pop', ' pop', ' dance pop'}",5,2593,12965
A Tree In The Meadow - Remastered 1990,{'torch song'},1,14,14
SexyBack (feat. Timbaland),"{'dance pop', ' pop rap', ' pop'}",3,1316,3948
Melody Of Love,"{'space age pop', ' easy listening'}",2,213,426
I'm Your Puppet (Originally Performed by James & Bobby Purify) [Karaoke Version],{'karaoke'},1,177,177
Hocus Pocus,"{' nederpop', ' flute rock', ' dutch prog', 'symphonic rock', ' progressive rock'}",5,79,395
Friday I'm in Love,"{' rock', ' permanent wave', ' uk post-punk', 'new wave'}",4,885,3540
Best I Ever Had,"{' rap', ' canadian hip hop', ' hip hop', 'toronto rap', ' canadian pop'}",5,1326,6630
God's Country,"{' country', ' contemporary country', ' classic oklahoma country', 'country road'}",4,475,1900
"The Good, the Bad and the Ugly - From ""The Good, the Bad and the Ugly""",{'easy listening'},1,88,88
4 Minutes (feat. Justin Timberlake & Timbaland),"{'dance pop', ' pop rap', ' pop'}",3,1316,3948
When Will I Be Loved,"{'heartland rock', ' soft rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' country rock', ' folk'}",7,2862,20034
Dream About You - Pop Mix,{'freestyle'},1,11,11
I Do,"{'lilith', ' pop rock', ' ectofolk', ' singer-songwriter', ' new wave pop'}",5,786,3930
Same Love (feat. Mary Lambert),"{' neo mellow', ' seattle hip hop', 'pop rap'}",3,83,249
Read Your Mind,"{' urban contemporary', 'contemporary r&b', ' r&b'}",3,1449,4347
Louie Louie,{'classic garage rock'},1,30,30
Wrecking Ball,{'pop'},1,588,588
Shawty (feat. T Pain),"{' urban contemporary', ' dirty south rap', ' trap', ' r&b', ' rap', 'gangster rap', ' hip hop', ' southern hip hop', ' miami hip hop', ' pop rap', ' dance pop'}",11,4242,46662
Spinning Wheel,"{'heartland rock', ' soft rock', ' blues rock', ' classic rock', ' jazz rock', ' album rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' country rock', ' folk'}",11,4149,45639
Take a Bow,"{'dance pop', ' pop'}",2,937,1874
Into The Night,,0,0,0
Take Me Home,"{' dance pop', 'pop'}",2,1142,2284
Girlfriend,"{' canadian pop', 'candy pop', ' pop'}",3,747,2241
There You'll Be - 2007 Remaster,"{' country', 'country dawn', ' contemporary country', ' country road'}",4,478,1912
What You Know,"{' trap', ' dirty south rap', ' rap', 'gangster rap', ' hip hop', ' pop rap', ' atl hip hop', ' southern hip hop'}",8,2563,20504
Ain't No Stoppin' Us Now (Karaoke in the style of McFadden & Whitehead),{'karaoke'},1,177,177
Style,{'pop'},1,588,588
I Wanna Be Bad,,0,0,0
The Second Time Around,"{' urban contemporary', ' post-disco', 'soul', ' funk', ' quiet storm', ' disco', ' motown', ' new jack swing'}",8,2134,17072
Love Child,"{' motown', 'classic girl group'}",2,206,412
Rags to Riches,"{'adult standards', ' vocal jazz', ' lounge', ' easy listening'}",4,489,1956
Back To The Hotel,"{' chicano rap', 'west coast rap'}",2,11,22
Like I Love You,"{'dance pop', ' pop'}",2,937,1874
You're All I Need To Get By,"{' northern soul', ' southern soul', ' quiet storm', 'classic soul', ' motown', ' neo soul', ' soul'}",7,1113,7791
I Want You Back - Radio Edit,"{'dance pop', ' boy band', ' pop'}",3,1035,3105
Roses Are Red (My Love),"{' rock-and-roll', ' bubblegum pop', ' easy listening', 'doo-wop', ' adult standards', ' rockabilly'}",6,1430,8580
Here I Am (Just When I Thought I Was Over You),{'soft rock'},1,253,253
Lips Of An Angel,"{' alternative metal', ' nu metal', 'post-grunge'}",3,147,441
Kiss an Angel Good Mornin',"{' nashville sound', 'country', ' classic country pop', ' country rock'}",4,371,1484
Green Onions,"{' psychedelic rock', ' classic soul', ' r&b', ' rock-and-roll', ' southern soul', ' memphis soul', ' folk', ' pop', ' urban contemporary', ' instrumental funk', ' soft rock', 'folk rock', ' classic rock', 'dance pop', ' mellow gold', ' country rock', 'instrumental soul', ' blues', ' soul', ' girl group'}",20,6747,134940
Ole Buttermilk Sky,,0,0,0
Tears in Heaven - Acoustic Live,"{' electric blues', 'soft rock', ' blues rock', ' classic rock', ' rock', ' album rock', ' mellow gold', ' singer-songwriter'}",8,3312,26496
I Think We're Alone Now - Single Version,"{' psychedelic rock', ' classic garage rock', ' rock-and-roll', 'folk rock', ' classic rock', ' mellow gold', ' country rock', ' bubblegum pop'}",8,2582,20656
"Walk, Don't Run '64",{'surf music'},1,13,13
Use Somebody,"{' modern rock', 'rock'}",2,228,456
The Gypsy - 78rpm Version,"{'adult standards', ' vocal jazz', ' easy listening', ' torch song'}",4,432,1728
C U When U Get There,"{' hip hop', ' g funk', 'gangster rap', ' west coast rap'}",4,763,3052
Put That Woman First,"{' new jack swing', 'contemporary r&b', ' urban contemporary', ' r&b'}",4,1636,6544
Hard to Get,,0,0,0
Lost in Your Eyes,"{' freestyle', 'new wave pop', ' soft rock'}",3,1129,3387
On My Mind,"{' uk pop', ' metropopolis', ' indietronica', 'pop'}",4,697,2788
Hawaii Five-O,{'surf music'},1,13,13
I Don't Want to Talk About It - 2008 Remaster,"{' mellow gold', 'soft rock'}",2,958,1916
(Just Like) Starting Over - Remastered 2010,"{' rock', 'beatlesque', ' classic rock'}",3,1302,3906
Headlines,"{' rap', ' canadian hip hop', ' hip hop', 'toronto rap', ' canadian pop'}",5,1326,6630
Don't Cry Out Loud,"{'soft rock', ' yacht rock'}",2,409,818
Time,"{' soft rock', ' classic rock', 'art rock', ' symphonic rock', ' album rock', ' mellow gold', ' progressive rock'}",7,2865,20055
Lisbon Antigua,{'easy listening'},1,88,88
All About That Bass,"{' hip pop', 'pop'}",2,689,1378
Can You Feel The Love Tonight,"{'glam rock', ' piano rock', ' mellow gold', ' rock'}",4,1434,5736
Absolutely (Story of a Girl) - Radio Mix,{'pop rock'},1,41,41
Feels So Good,"{'jazz trumpet', ' smooth jazz'}",2,18,36
Everytime You Go Away,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' new wave', ' mellow gold'}",6,2395,14370
It's Goin' Down (feat. Nitti),"{' dirty south rap', ' trap', 'southern hip hop', ' crunk', ' atl hip hop'}",5,842,4210
I'm Different (In the Style of 2 Chainz) [Karaoke Intrumental Version],{'karaoke'},1,177,177
Because They're Young,"{' rock-and-roll', ' surf music', 'rockabilly'}",3,462,1386
Ballad Of The Green Berets,{'military cadence'},1,1,1
Desire,"{' disco', 'mellow gold', ' soft rock', ' italian disco'}",4,1132,4528
good 4 u,{'pop'},1,588,588
It's Not Unusual,"{'british invasion', ' adult standards'}",2,463,926
Shake It Off,{'pop'},1,588,588
Patches,"{'soul', ' southern soul'}",2,449,898
I Want to Be Your Man - Remastered Version,"{'p funk', ' post-disco', ' funk', ' quiet storm', ' new jack swing'}",5,765,3825
Rock On,{'glam rock'},1,41,41
As It Was,{'pop'},1,588,588
Lil' Red Riding Hood,"{' classic garage rock', ' surf music', 'rock-and-roll', ' bubblegum pop', ' merseybeat'}",5,480,2400
U & Ur Hand (In The Style Of Pink),{'karaoke'},1,177,177
Marry Me,"{' country', ' contemporary country', ' modern country rock', 'country road'}",4,498,1992
When I'm Gone,"{' detroit hip hop', 'hip hop', ' rap'}",3,664,1992
Bottoms Up (feat. Nicki Minaj),"{' urban contemporary', ' trap', ' r&b', ' queens hip hop', ' rap', ' southern hip hop', 'hip pop', ' pop', ' dance pop'}",9,3770,33930
Funny How Time Slips Away,{'motown'},1,89,89
Mr. Big Stuff,"{'new orleans soul', ' southern soul'}",2,169,338
6 Foot 7 Foot,"{' trap', ' rap', ' new orleans rap', ' hip hop', ' pop rap', 'nyc rap'}",6,1804,10824
Blue Bayou,"{'heartland rock', ' soft rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' country rock', ' folk'}",7,2862,20034
Elenore,"{' psychedelic rock', ' rock-and-roll', 'folk rock', ' classic rock', ' bubblegum pop'}",5,1594,7970
Tennessee Waltz,"{'adult standards', ' easy listening'}",2,312,624
Here's to the Night,"{' alternative metal', 'pop rock', ' post-grunge'}",3,194,582
Hooked On Classics (Parts 1 & 2),,0,0,0
You Right,"{' canadian contemporary r&b', ' canadian pop', ' dance pop', 'pop'}",4,1331,5324
Barbie Girl,"{' dance pop', ' eurodance', ' europop', 'bubblegum dance'}",4,625,2500
Easy,"{' soft rock', 'soul', ' funk', ' quiet storm', ' disco', ' mellow gold', ' motown', ' adult standards'}",8,3216,25728
We Got A Love Thang,{'diva house'},1,5,5
Old Cape Cod,"{'adult standards', ' easy listening'}",2,312,624
Miss Me Blind - Remastered 2003,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' new wave', ' album rock'}",6,2237,13422
Me Too,"{' hip pop', 'pop'}",2,689,1378
So Good,"{' rap', 'dance pop', ' pop rap', ' atl hip hop', ' southern hip hop'}",5,1769,8845
Redneck Woman,"{' country', 'country dawn', ' contemporary country', ' country road'}",4,478,1912
Too Close,"{' urban contemporary', ' r&b', ' boy band', 'new jack swing', ' contemporary r&b', ' minneapolis sound'}",6,1726,10356
"Don't Let The Sun Go Down On Me - Live From Madison Square Garden, USA/1974","{'glam rock', ' piano rock', ' rock', ' mellow gold'}",4,1434,5736
Daydreamin',"{' contemporary r&b', ' hip pop', 'bronx hip hop'}",3,362,1086
Sealed with a Kiss,"{' rock-and-roll', ' bubblegum pop', ' easy listening', 'doo-wop', ' adult standards', ' rockabilly'}",6,1430,8580
One Woman,"{' contemporary r&b', 'girl group'}",2,273,546
I Can't Get Next To You,"{' motown', ' soul', 'memphis soul'}",3,527,1581
Higher Love,"{'heartland rock', ' soft rock', ' classic rock', ' album rock', ' mellow gold', ' folk rock', ' singer-songwriter'}",7,3661,25627
"Open The Door, Richard",{'novelty'},1,18,18
Touch Me (I Want Your Body),"{' synthpop', ' new romantic', ' hi-nrg', 'new wave pop'}",4,768,3072
Sending All My Love,{'freestyle'},1,11,11
Call Me,"{'new wave pop', ' rock', ' permanent wave', ' candy pop', ' power pop'}",5,1234,6170
Chances Are (with Ray Conniff & His Orchestra),"{'adult standards', ' easy listening'}",2,312,624
If You,"{' new jack swing', 'contemporary r&b', ' r&b'}",3,1028,3084
The Way You Do The Things You Do,"{'memphis soul', ' motown', ' soul'}",3,527,1581
Sunny,{'northern soul'},1,14,14
Girl On TV,{'boy band'},1,22,22
Get Up (feat. Chamillionaire),"{' urban contemporary', ' dirty south rap', ' r&b', ' southern hip hop', 'hip pop', ' pop', ' dance pop'}",7,2985,20895
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,"{' rock-and-roll', ' bubblegum pop', 'doo-wop', ' merseybeat'}",4,733,2932
"Never Again, Again","{' country', 'country dawn', ' contemporary country', ' country road'}",4,478,1912
Shut Up and Dance,"{' dance rock', ' modern rock', 'pop'}",3,728,2184
Sentimental Lady,"{'soft rock', ' yacht rock'}",2,409,818
Paris,"{' tropical house', ' electropop', 'pop'}",3,630,1890
Vehicle,,0,0,0
Money Honey,{'bubblegum pop'},1,47,47
Love Is in Control (Finger on the Trigger),"{'new wave pop', ' soft rock', ' disco', ' hi-nrg', ' adult standards'}",5,1863,9315
The Boy Is Mine - Radio Edit,"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' dance pop'}",5,2272,11360
Fly Robin Fly,{'disco'},1,50,50
Show Me (feat. Chris Brown),"{' r&b', ' trap', ' rap', 'southern hip hop', ' pop rap'}",5,2059,10295
Po Pimp,"{' gangster rap', 'chicago rap', ' southern hip hop'}",3,292,876
Dear Hearts And Gentle People,"{'adult standards', ' lounge', ' easy listening'}",3,388,1164
Gimme That,"{'rap', ' r&b'}",2,685,1370
Stay,"{' synthpop', 'new wave pop', ' candy pop'}",3,590,1770
"Gee Whiz, Look at His Eyes","{' southern soul', ' soul', 'memphis soul'}",3,504,1512
The Cisco Kid,"{' funk', ' classic soul', 'motown', ' soul'}",4,899,3596
Don’t Wanna Fall in Love,{'new wave pop'},1,302,302
Brown Eyed Girl,"{' soft rock', 'folk rock', ' rock', ' classic rock', ' mellow gold', ' singer-songwriter', ' heartland rock', ' folk'}",8,3744,29952
Total Eclipse Of The Heart - Dance Mix,"{' eurodance', 'diva house'}",2,35,70
Hit Me Off,"{' urban contemporary', ' r&b', ' boy band', 'new jack swing', ' contemporary r&b'}",5,1678,8390
This Girl Is a Woman Now,"{' rock-and-roll', ' bubblegum pop', ' soft rock', ' adult standards', 'folk rock', ' mellow gold', ' folk rock', 'rock-and-roll', ' country rock', ' rockabilly', ' merseybeat'}",11,3571,39281
Dead And Gone,"{' dirty south rap', ' trap', ' rap', 'gangster rap', ' hip hop', ' southern hip hop', ' pop rap', ' atl hip hop', ' pop', ' dance pop'}",10,3695,36950
Still into You,"{'pop punk', ' rock', ' modern rock', ' pop emo', ' candy pop', ' pixie', ' pop'}",7,1407,9849
Peggy Sue,"{' rock-and-roll', ' classic rock', 'rockabilly', ' mellow gold', ' folk rock', ' singer-songwriter', ' doo-wop'}",7,2548,17836
Rock Wit U (Awww Baby),"{' dance pop', ' urban contemporary', ' r&b', 'hip pop'}",4,2015,8060
When You're Gone,"{'pop rock', ' irish rock', ' rock'}",3,675,2025
What About Your Friends,"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' atl hip hop', ' dance pop', ' girl group'}",7,2612,18284
Through The Wire,"{' hip hop', 'chicago rap', ' rap'}",3,1117,3351
This Lil' Game We Play,,0,0,0
How Sweet It Is (To Be Loved By You) - 2019 Remaster,"{'heartland rock', ' soft rock', ' classic rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' folk'}",7,3287,23009
Fox On The Run,"{'glam rock', ' album rock', ' hard rock'}",3,910,2730
Saving All My Love for You,{'dance pop'},1,359,359
Too Late For Goodbyes,"{' new wave pop', 'beatlesque'}",2,216,432
I'll Be,"{' r&b', ' rap', 'gangster rap', ' east coast hip hop', ' hip hop', ' contemporary r&b', ' hip pop', ' pop rap'}",8,2819,22552
Nothing From Nothing,"{' psychedelic soul', 'soul', ' rock keyboard'}",3,306,918
Trying,"{' deep adult standards', 'vocal harmony group'}",2,63,126
Mockingbird,{'northern soul'},1,14,14
U Got It Bad,"{' urban contemporary', ' south carolina hip hop', ' r&b', ' rap', 'dance pop', ' contemporary r&b', ' atl hip hop', ' pop'}",8,3326,26608
Natural,"{' rock', ' modern rock', 'pop'}",3,1295,3885
